,title,price,location,date,views,Marke,Modell,Kilometerstand,Erstzulassung,Kraftstoffart,Leistung,Getriebe,Fahrzeugtyp,HU bis,Umweltplakette,Schadstoffklasse,Außenfarbe,Material Innenausstattung,Fahrzeugzustand,Anzahl Türen
91,Volkswagen Golf 1.6 Aktion Trendline,950 €,38228 Niedersachsen - Salzgitter,06.05.2020,,Volkswagen,Golf,254.000 km,Februar 2000,Benzin,105 PS,Manuell,Limousine,Februar 2022,4 (Grün),Euro4,Blau,XXX,Unbeschädigtes Fahrzeug,2/3
92,Volkswagen Golf 1.4 TSI Comfortline,6.000 €,34127 Hessen - Kassel,06.05.2020,00000,Volkswagen,Golf,135.000 km,September 2009,Benzin,160 PS,Manuell,Limousine,Dezember 2020,XXX,Euro5,Schwarz,Stoff,Unbeschädigtes Fahrzeug,4/5
93,VW Golf VII 1.6 TDI Blue Motion,7.800 € VB,24963 Schleswig-Holstein - Tarp,06.05.2020,00010,Volkswagen,Golf,122.517 km,Juni 2013,Diesel,105 PS,Manuell,Kleinwagen,Mai 2022,4 (Grün),Euro5,Schwarz,Stoff,XXX,4/5
94,Golf 5..2008,6.000 €,50672 Innenstadt - Köln Altstadt,06.05.2020,00021,Volkswagen,Golf,10.000 km,November 2008,Benzin,XXX,Automatik,Kombi,November 2022,4 (Grün),Euro4,Silber,XXX,XXX,4/5
95,Volkswagen Golf Plus 1.4 TSI DSG AUTOMATIK KLIMA 1. HAND,5.900 €,10715 Berlin - Wilmersdorf,06.05.2020,00007,Volkswagen,Golf,150.000 km,August 2010,Benzin,122 PS,Automatik,Limousine,August 2020,4 (Grün),Euro5,Grau,Stoff,Unbeschädigtes Fahrzeug,4/5
96,Golf 4 1.9 TDI (Tausch auch möglich),2.000 €,76646 Baden-Württemberg - Bruchsal,06.05.2020,00013,Volkswagen,Golf,313.000 km,April 2002,Diesel,131 PS,Manuell,Limousine,April 2022,XXX,Euro3,Silber,Stoff,Unbeschädigtes Fahrzeug,2/3
97,VW lupo 1.0 TÜV 08/20 4 Zylinder SITZHEIZUNG,300 €,57223 Nordrhein-Westfalen - Kreuztal,06.05.2020,00027,Volkswagen,Golf,212.000 km,Mai 2001,Benzin,50 PS,Manuell,Kleinwagen,August 2020,4 (Grün),Euro4,Blau,Stoff,Beschädigtes Fahrzeug,2/3
98,Ich habe eine ein Auto Golf Plus 2006 bei Auto alles gut,4.500 €,97421 Bayern - Schweinfurt,06.05.2020,00022,Volkswagen,Golf,142 km,Juli 2006,Benzin,115 PS,Manuell,Kleinwagen,Juni 2021,4 (Grün),Euro4,Silber,Stoff,Unbeschädigtes Fahrzeug,4/5
99,"VW Golf 7 1,6 TDi",7.300 € VB,72525 Baden-Württemberg - Münsingen,06.05.2020,00031,Volkswagen,Golf,160.000 km,April 2016,Diesel,110 PS,Manuell,Kombi,Januar 2022,4 (Grün),Euro6,Blau,XXX,XXX,4/5
100,VW Vento Bj.96 Automatik Benzin 1.Hand Scheckheft 85000km TÜV neu,2.330 €,38458 Niedersachsen - Velpke,06.05.2020,00008,Volkswagen,Golf,85.000 km,Mai 1996,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX,XXX
101,"Volkswagen Golf 2.0 GTI adidas AHK 18"" Schiebedach RNS510",11.500 €,39638 Sachsen-Anhalt - Gardelegen,06.05.2020,00032,Volkswagen,Golf,152.000 km,Juli 2011,Benzin,211 PS,Manuell,Limousine,Dezember 2020,4 (Grün),Euro5,Rot,Teilleder,Unbeschädigtes Fahrzeug,4/5
102,VW Golf Cabrio,999 €,71032 Baden-Württemberg - Böblingen,06.05.2020,00034,Volkswagen,Golf,230.000 km,Mai 1997,Benzin,90 PS,Manuell,Cabrio,November 2020,4 (Grün),XXX,Blau,Stoff,Unbeschädigtes Fahrzeug,2/3
103,Golf IV Cabriolet Highline mit Leder + Standheizung + Klima,4.000 € VB,15838 Brandenburg - Am Mellensee,06.05.2020,00027,Volkswagen,Golf,254.000 km,Juli 2001,Diesel,90 PS,Manuell,Cabrio,Dezember 2021,XXX,XXX,Schwarz,Vollleder,Unbeschädigtes Fahrzeug,2/3
104,Volkswagen Golf GTI Edi35 - edle Wörthersee Ballern Edition,29.999 €,52134 Nordrhein-Westfalen - Herzogenrath,06.05.2020,00036,Volkswagen,Golf,35.000 km,Oktober 2011,Benzin,XXX,Manuell,Limousine,Juli 2021,4 (Grün),Euro5,Weiß,Teilleder,Unbeschädigtes Fahrzeug,4/5
105,VW Golf IV Tüv 8 Fachbereift,1.600 €,92224 Bayern - Amberg,06.05.2020,00008,Volkswagen,Golf,199.000 km,Juli 2000,Diesel,90 PS,Manuell,Kleinwagen,Oktober 2020,XXX,XXX,Grün,XXX,Unbeschädigtes Fahrzeug,4/5
106,Vw bora variant (Kombi) 1 1/2 Jahre TÜV,1.600 €,52385 Nordrhein-Westfalen - Nideggen / Düren,06.05.2020,00006,Volkswagen,Golf,230 km,Januar 2001,Benzin,105 PS,Manuell,Kombi,November 2021,4 (Grün),Euro4,Blau,Stoff,XXX,4/5
